movie_id,genre_id
1549312,99
1524748,18
1524748,10749
1524748,27
1258509,18
1258509,35
878608,18
878608,878
1563664,16
1563664,18
1567761,27
1564692,99
1564692,9648
1168402,35
1168402,18
1284120,27
1284120,35
1284120,14
1284120,18
1546265,18
1288219,18
682012,16
682012,18
682012,10751
1568796,35
1568796,18
1172507,18
1172507,9648
1462304,18
1462304,35
1493026,99
1159206,35
1159206,18
1219620,18
1457188,99
1568813,27
1371185,18
1371185,10402
1371185,10749
1211442,18
1547316,18
1547316,10749
1547316,10770
1484861,18
989246,16
989246,10751
1230916,99
1468488,35
1458251,53
1458251,80
1027147,18
1518673,99
1565783,27
1565783,35
1453149,99
1022046,18
896096,18
1568865,99
1549409,18
1549409,10752
1303651,27
1303651,18
1303651,53
1565798,53
1565798,27
1566825,18
1560687,99
1567856,35
1382513,12
1382513,18
1476724,99
991351,27
991351,53
991351,18
1546359,18
683127,16
683127,14
683127,10751
22650,80
1418361,18
1551481,99
1551481,10402
1551481,10770
978046,28
978046,878
1398911,18
1398911,37
1395839,53
1395839,9648
1395839,27
1537151,18
1537151,10749
1565823,27
1467523,18
1510537,14
1510537,18
1410189,35
1410189,18
1458322,10749
1458322,35
1458322,18
1216662,9648
1216662,53
1216662,18
1374361,35
1374361,27
1287322,18
1287322,36
1563804,27
959646,16
959646,35
959646,10402
959646,28
9385,10751
9385,16
9385,35
9385,12
840873,16
840873,36
840873,18
1560747,99
1271981,18
1566897,10749
1472691,18
1545830,18
1545830,10751
1546421,27
1433784,99
1374401,99
505026,9648
505026,80
505026,53
1476803,99
1476803,18
1557702,27
1299655,35
1299655,18
1299655,36
1299655,10402
1299655,10749
1339592,18
1364168,27
1340618,18
1566924,27
1566924,18
1566928,27
1566928,16
1149137,10751
1149137,12
1124566,18
1124566,35
1528023,27
1528023,53
1559766,53
1551579,99
1456349,18
1456349,53
1456349,80
1276126,18
1262815,35
1262815,18
1262815,10402
1545439,18
1539301,18
1539301,99
1282280,16
1282280,14
1282280,27
1561832,10770
1561832,99
1324267,99
1561836,10402
1561836,27
988397,35
988397,18
1180909,53
1180909,27
1382639,18
144623,99
144623,10402
393457,18
1509626,27
1509626,9648
1531131,18
1548544,18
1562881,18
830721,35
830721,18
